book,word,tfidf
TolstoiVorobei,воробей,0.910196
TolstoiEchizayac,ёж,0.723855
TolstoiVorobei,лён,0.717333
TolstoiTelenoknaldu,телёнок,0.649992
TolstoiLetuchayamysh,летучая,0.645765
PushkinKamennyigost,гуан,0.625634
TolstoiVolgaiVazuza,волга,0.616940
TolstoiFilipok,филипок,0.603935
TolstoiShatiDon,шат,0.591983
TolstoiShakalyislon,слон,0.570469
TolstoiVolgaiVazuza,вазуза,0.570408
TolstoiPesnyaprosrachenienarekeChernoi,bis,0.523350
TolstoiZaicyilyagushki,зайцы,0.517134
TolstoiLetuchayamysh,мышь,0.507136
PushkinKamennyigost,дон,0.471297
TolstoiMyshi,кота,0.467739
TolstoiShatiDon,дон,0.454054
TolstoiSobakaieeten,собака,0.441651
TolstoiShakalyislon,шакал,0.419556
TolstoiZaicyilyagushki,лягушки,0.395571
TolstoiShakalyislon,шакалы,0.382696
TolstoiSobakaieeten,своё,0.356543
TolstoiVolk,волк,0.356340
TolstoiMyshi,звонок,0.350805
TolstoiProezchiiikrestyanin,проезжий,0.346310
TolstoiLetuchayamysh,зверям,0.346134
TolstoiMyshi,мыши,0.345671
TolstoiTrivora,козу,0.338936
PushkinMocartiSaleri,моцарт,0.337628
TolstoiBednyeludi,жанна,0.334619
TolstoiAssiriiskiicarAsarhadon,лаилиэ,0.326998
TolstoiEchizayac,заяц,0.322340
TolstoiLetuchayamysh,птицам,0.315724
TolstoiKrestnik,крестник,0.310156
TolstoiGdelubovtamibog,авдеич,0.305867
TolstoiTrivora,осла,0.290574
TolstoiRabotnikEmelyanipustoibaraban,емельян,0.287381
TolstoiVorobei,послушались,0.285122
TolstoiZernoskurinoeyaico,зерно,0.275903
TolstoiSobakaieeten,мясо,0.274422
PushkinMocartiSaleri,сальери,0.269079
TolstoiProezchiiikrestyanin,крестьянин,0.267813
TolstoiTristarca,архиерей,0.265747
TolstoiLetuchayamysh,передалась,0.265413
TolstoiMnogolichelovekuzemlinuchno,пахом,0.265015
TolstoiOtecisynovya,сыновья,0.262312
TolstoiVrachelepkoabochekrepko,алеб,0.250784
TolstoiKavkazskiiplennik,жилин,0.248655
TolstoiZaicyilyagushki,топиться,0.247627
DostoevskiySlaboeserdce,вася,0.245240
